E_keV,dNdE,unc,,,,
1,0.000226416,0.000226422,,,,
2,0.000484229,0.000484246,,,,
3,0.000718763,0.000718786,,,,
4,0.000931148,0.000931174,,,,
5,0.00112525,0.00112528,,,,
6,0.00130431,0.00130434,,,,
7,0.00147078,0.0014708,,,,
8,0.00162653,0.00162654,,,,
9,0.00177303,0.00177303,,,,
10,0.0019114,0.0019114,,,,
11,0.00204258,0.00204256,,,,
12,0.00216732,0.00216729,,,,
13,0.00228623,0.00228619,,,,
14,0.00239985,0.0023998,,,,
15,0.00250862,0.00250855,,,,
16,0.00261291,0.00261283,,,,
17,0.00271307,0.00271297,,,,
18,0.00280936,0.00280925,,,,
19,0.00290206,0.00290193,,,,
20,0.00299139,0.00299124,,,,
21,0.00307752,0.00307736,,,,
22,0.00316067,0.00316049,,,,
23,0.00324096,0.00324076,,,,
24,0.00331856,0.00331834,,,,
25,0.00339359,0.00339336,,,,
26,0.00346618,0.00346593,,,,
27,0.00353643,0.00353616,,,,
28,0.00360444,0.00360415,,,,
29,0.00367032,0.00367001,,,,
30,0.00373412,0.00373379,,,,
31,0.00379594,0.00379559,,,,
32,0.00385585,0.00385549,,,,
33,0.00391393,0.00391354,,,,
34,0.00397022,0.00396981,,,,
35,0.0040248,0.00402437,,,,
36,0.0040777,0.00407725,,,,
37,0.00412901,0.00412854,,,,
38,0.00417873,0.00417824,,,,
39,0.00422694,0.00422643,,,,
40,0.00427368,0.00427315,,,,
41,0.00431898,0.00431843,,,,
42,0.00436288,0.00436231,,,,
43,0.00440542,0.00440483,,,,
44,0.00444665,0.00444603,,,,
45,0.00448657,0.00448593,,,,
46,0.00452523,0.00452456,,,,
47,0.00456266,0.00456197,,,,
48,0.00459889,0.00459818,,,,
49,0.00463393,0.0046332,,,,
50,0.00466783,0.00466708,,,,
51,0.00470059,0.00469983,,,,
52,0.00473226,0.00473147,,,,
53,0.00476284,0.00476203,,,,
54,0.00479237,0.00479154,,,,
55,0.00482086,0.00482,,,,
56,0.00484833,0.00484745,,,,
57,0.00487481,0.00487391,,,,
58,0.00490029,0.00489937,,,,
59,0.00492482,0.00492388,,,,
60,0.00494841,0.00494745,,,,
61,0.00497107,0.00497008,,,,
62,0.00499281,0.00499181,,,,
63,0.00501366,0.00501264,,,,
64,0.00503363,0.00503258,,,,
65,0.00505272,0.00505166,,,,
66,0.00507097,0.00506988,,,,
67,0.00508838,0.00508727,,,,
68,0.00510496,0.00510383,,,,
69,0.00512073,0.00511958,,,,
70,0.00513569,0.00513452,,,,
71,0.00514987,0.00514868,,,,
72,0.00516327,0.00516206,,,,
73,0.00517591,0.00517468,,,,
74,0.00518779,0.00518654,,,,
75,0.00519893,0.00519766,,,,
76,0.00520933,0.00520804,,,,
77,0.00521902,0.00521771,,,,
78,0.00522799,0.00522666,,,,
79,0.00523626,0.00523492,,,,
80,0.00524385,0.00524248,,,,
81,0.00525074,0.00524935,,,,
82,0.00525696,0.00525556,,,,
83,0.00526252,0.00526109,,,,
84,0.00526742,0.00526598,,,,
85,0.00527167,0.00527021,,,,
86,0.00527529,0.00527381,,,,
87,0.00527828,0.00527678,,,,
88,0.00528064,0.00527912,,,,
89,0.00528239,0.00528086,,,,
90,0.00528353,0.00528198,,,,
91,0.00528407,0.0052825,,,,
92,0.00528403,0.00528245,,,,
93,0.00528341,0.0052818,,,,
94,0.0052822,0.00528058,,,,
95,0.00528043,0.00527878,,,,
96,0.0052781,0.00527643,,,,
97,0.00527522,0.00527353,,,,
98,0.00527178,0.00527007,,,,
99,0.00526781,0.00526608,,,,
100,0.00526329,0.00526154,,,,
110,0.00519021,0.00518825,,,,
120,0.0050704,0.00506825,,,,
130,0.00490941,0.00490706,,,,
140,0.00471228,0.00470976,,,,
150,0.00448375,0.00448107,,,,
